 No.     Event UTC PERI       Event SCLK PERI      OP-Event UTC APO       SolLon   SolLat   SC Lon   SC Lat      Alt       Sol Dist
13850  2021 APR 28 06:38:55    2/0672863758.29253  2021 APR 28 08:27:05   172.80    14.93   117.59    -5.97      189.12   245050348.0
13851  2021 APR 28 10:15:17    2/0672876741.18630  2021 APR 28 12:03:28   120.14    14.96    64.71    -5.83      188.76   245066507.6
13852  2021 APR 28 13:51:41    2/0672889725.04477  2021 APR 28 15:39:54    67.48    14.98    11.80    -5.66      189.69   245082639.4
13853  2021 APR 28 17:28:07    2/0672902711.08883  2021 APR 28 19:16:18    14.80    15.00   318.87    -5.48      190.20   245098745.0
13854  2021 APR 28 21:04:32    2/0672915695.29639  2021 APR 28 22:52:42   322.14    15.03   265.97    -5.35      189.61   245114819.3
13855  2021 APR 29 00:40:53    2/0672928676.54716  2021 APR 29 02:29:05   269.48    15.05   213.08    -5.17      190.10   245130860.9
13856  2021 APR 29 04:17:18    2/0672941662.16217  2021 APR 29 06:05:30   216.81    15.07   160.14    -4.99      190.24   245146878.4
13857  2021 APR 29 07:53:43    2/0672954646.38121  2021 APR 29 09:41:53   164.14    15.10   107.24    -4.83      189.48   245162865.4
13858  2021 APR 29 11:30:05    2/0672967628.42295  2021 APR 29 13:18:16   111.49    15.12    54.36    -4.68      189.40   245178820.6
13859  2021 APR 29 15:06:29    2/0672980612.28904  2021 APR 29 16:54:41    58.82    15.14     1.45    -4.51      190.37   245194748.6
13860  2021 APR 29 18:42:54    2/0672993597.64027  2021 APR 29 20:31:05     6.15    15.17   308.52    -4.34      190.63   245210649.7
13861  2021 APR 29 22:19:17    2/0673006580.60579  2021 APR 30 00:07:28   313.49    15.19   255.63    -4.22      190.00   245226518.3
13862  2021 APR 30 01:55:39    2/0673019563.09136  2021 APR 30 03:43:51   260.83    15.21   202.74    -4.04      190.66   245242356.9
13863  2021 APR 30 05:32:05    2/0673032548.20768  2021 APR 30 07:20:16   208.16    15.24   149.81    -3.87      190.54   245258169.9
13864  2021 APR 30 09:08:28    2/0673045531.47049  2021 APR 30 10:56:38   155.50    15.26    96.91    -3.71      189.80   245273951.4
13865  2021 APR 30 12:44:50    2/0673058513.27421  2021 APR 30 14:33:01   102.84    15.28    44.03    -3.57      190.04   245289701.6
13866  2021 APR 30 16:21:14    2/0673071497.27784  2021 APR 30 18:09:26    50.18    15.30   351.11    -3.39      190.98   245305425.3
